"","Electoral votes per state in the 2024 presidential election","Electoral votes per state in the 2024 presidential election"
"1","Alabama","9"
"2","Alaska","3"
"3","Arizona","11"
"4","Arkansas","6"
"5","California","54"
"6","Colorado","10"
"7","Connecticut","7"
"8","Delaware","3"
"9","District of Columbia","3"
"10","Florida","30"
"11","Georgia","16"
"12","Hawaii","4"
"13","Idaho","4"
"14","Illinois","19"
"15","Indiana","11"
"16","Iowa","6"
"17","Kansas","6"
"18","Kentucky","8"
"19","Louisiana","8"
"20","Maine","4"
"21","Maryland","10"
"22","Massachusetts","11"
"23","Michigan","15"
"24","Minnesota","10"
"25","Mississippi","6"
"26","Missouri","10"
"27","Montana","4"
"28","Nebraska","5"
"29","Nevada","6"
"30","New Hampshire","4"
"31","New Jersey","14"
"32","New Mexico","5"
"33","New York","28"
"34","North Carolina","16"
"35","North Dakota","3"
"36","Ohio","17"
"37","Oklahoma","7"
"38","Oregon","8"
"39","Pennsylvania","19"
"40","Rhode Island","4"
"41","South Carolina","9"
"42","South Dakota","3"
"43","Tennessee","11"
"44","Texas","40"
"45","Utah","6"
"46","Vermont","3"
"47","Virginia","13"
"48","Washington","12"
"49","West Virginia","4"
"50","Wisconsin","10"
"51","Wyoming","3"
